date,open,high,low,close,adjusted close,return,volume,dividend amount,ticker
2/21/2025,72.21,74.635,71.9807,72.94,72.94,-0.006537728,6606332,0,SPTM
1/31/2025,71.84,74.49,70.13,73.42,73.42,0.027859443,10807856,0,SPTM
12/31/2024,73.86,74.44,71.1,71.43,71.43,-0.028130209,12261205,0.2489,SPTM
11/29/2024,69.78,73.88,69.38,73.75,73.4975,0.062832146,7764526,0,SPTM
10/31/2024,70.03,71.56,69.04,69.39,69.1525,-0.009563135,7053643,0,SPTM
9/30/2024,68.49,70.2,65.87,70.06,69.8202,0.020139739,7381102,0.226,SPTM
8/30/2024,67.64,68.95,62.43,68.9,68.4418,0.021496534,9147861,0,SPTM
7/31/2024,66.5,69.08,65.84,67.45,67.0015,0.01657897,8364251,0,SPTM
6/28/2024,64.83,67.045,64,66.35,65.9088,0.031998647,5812350,0.2339,SPTM
5/31/2024,61.46,65.22,61.23,64.52,63.8652,0.048593233,6760293,0,SPTM
4/30/2024,64.3,64.3182,60.52,61.53,60.9056,-0.040841588,8371342,0,SPTM
3/28/2024,62.35,64.33,61.92,64.15,63.499,0.032920592,8500981,0.2069,SPTM
2/29/2024,59.4,62.44,59.2501,62.31,61.4752,0.053068664,11561513,0,SPTM
1/31/2024,58.06,60.25,57.31,59.17,58.3772,0.012317291,15486092,0,SPTM
12/29/2023,55.78,58.73,55.72,58.45,57.6669,0.050538596,9093761,0.2313,SPTM
11/30/2023,51.32,56.09,51.24,55.86,54.8927,0.091228063,10019869,0,SPTM
10/31/2023,52.39,53.71,50.125,51.19,50.3036,-0.024766824,12414765,0,SPTM
9/29/2023,55.69,55.71,51.848,52.49,51.5811,-0.04808033,8539029,0.2059,SPTM
8/31/2023,56.13,56.23,53.2105,55.35,54.1864,-0.017049938,11092715,0,SPTM
7/31/2023,54.45,56.48,53.65,56.31,55.1263,0.034349928,7232672,0,SPTM
6/30/2023,51.26,54.65,51.13,54.44,53.2956,0.066044189,8974371,0.2131,SPTM
5/31/2023,51.11,51.8469,49.625,51.27,49.9938,0.002542764,10855943,0,SPTM
4/28/2023,50.44,51.165,49.66,51.14,49.867,0.014078378,8012268,0,SPTM
3/31/2023,49.09,50.48,47.01,50.43,49.1747,0.029416259,11979025,0.1892,SPTM
2/28/2023,50.25,51.856,48.83,49.18,47.7695,-0.023430153,10558311,0,SPTM
1/31/2023,47.57,50.525,46.751,50.36,48.9156,0.064917479,11471804,0,SPTM
12/30/2022,50.53,50.66,46.34,47.29,45.9337,-0.057010061,18929010,0.2161,SPTM
11/30/2022,48.18,50.39,45.6,50.38,48.7107,0.055520764,13723657,0,SPTM
10/31/2022,44.51,48.13,43.05,47.73,46.1485,0.082066192,19434735,0,SPTM
9/30/2022,48.46,50.7781,44.05,44.11,42.6485,-0.091533605,18793945,0.2028,SPTM
8/31/2022,50.48,53.255,48.75,48.76,46.9456,-0.040536287,11591511,0,SPTM
