date,open,high,low,close,adjusted close,volume,dividend amount,Ticker
2/21/2025,592.67,613.23,590.49,599.94,599.94,556375428,0,SPY
1/31/2025,589.39,610.78,575.35,601.82,601.82,995605958,0,SPY
12/31/2024,602.97,609.07,580.91,586.08,586.08,1059636545,1.9655,SPY
11/29/2024,571.32,603.35,567.89,602.55,600.5532,901761281,0,SPY
10/31/2024,573.4,586.12,565.27,568.64,566.7556,976134821,0,SPY
9/30/2024,560.47,574.71,539.44,573.76,571.8586,1044167074,1.7455,SPY
8/30/2024,552.57,564.2,510.27,563.68,560.0915,1244598926,0,SPY
7/31/2024,545.63,565.16,537.45,550.81,547.3035,1038489736,0,SPY
6/28/2024,529.02,550.28,522.6,544.22,540.7554,888923206,1.759,SPY
5/31/2024,501.38,533.07,499.55,527.37,522.3253,1153296957,0,SPY
4/30/2024,523.83,524.38,493.86,501.98,497.1782,1586426473,0,SPY
3/28/2024,508.98,524.61,504.91,523.07,518.0665,1463191348,1.5949,SPY
2/29/2024,484.63,510.13,483.8,508.08,501.6505,1393617806,0,SPY
1/31/2024,472.16,491.62,466.43,482.88,476.7694,1698148385,0,SPY
12/29/2023,455.77,477.55,454.31,475.31,469.2952,1634337932,1.9061,SPY
11/30/2023,419.2,458.32,418.6499,456.4,448.8018,1500345254,0,SPY
10/31/2023,426.62,438.14,409.21,418.2,411.2377,1999352275,0,SPY
9/29/2023,453.17,453.67,422.29,427.48,420.3632,1589390585,1.5832,SPY
8/31/2023,456.27,457.25,433.01,450.35,441.2768,1755315375,0,SPY
7/31/2023,442.92,459.44,437.06,457.79,448.5669,1374774872,0,SPY
6/30/2023,418.09,444.3,416.79,443.28,434.3492,1749958214,1.6384,SPY
5/31/2023,415.47,422.58,403.74,417.85,407.9108,1776447412,0,SPY
4/28/2023,408.85,415.94,403.78,415.93,406.0365,1392713656,0,SPY
3/31/2023,395.41,409.7,380.65,409.39,399.6521,2516860295,1.5062,SPY
2/28/2023,405.211,418.31,393.64,396.26,385.3461,1603224252,0,SPY
1/31/2023,384.37,408.16,377.831,406.48,395.2846,1575449950,0,SPY
12/30/2022,408.77,410.49,374.77,382.43,371.897,1735973711,1.7814,SPY
11/30/2022,390.14,407.68,368.79,407.68,394.6174,1746114943,0,SPY
10/31/2022,361.08,389.52,348.11,386.21,373.8354,2024731829,0,SPY
9/30/2022,392.89,411.73,357.04,357.18,345.7355,1995062808,1.5964,SPY
8/31/2022,409.15,431.73,395.04,395.18,380.9407,1442452663,0,SPY
7/29/2022,376.56,413.03,371.04,411.99,397.145,1437748370,0,SPY
6/30/2022,415.17,417.44,362.17,377.25,363.6568,1958752731,1.5769,SPY
5/31/2022,412.07,429.66,380.54,412.93,396.3429,2415337241,0,SPY
4/29/2022,453.31,457.83,411.21,412,395.4502,1850850552,0,SPY
3/31/2022,435.04,462.07,415.12,451.64,433.4979,2374192157,1.366,SPY
2/28/2022,450.68,458.12,410.64,436.63,417.8069,2295905184,0,SPY
1/31/2022,476.3,479.98,420.76,449.91,430.5144,2478637614,0,SPY
12/31/2021,461.64,479,448.92,474.96,454.4845,1926485453,1.6335,SPY
11/30/2021,460.3,473.54,455.3,455.56,434.3779,1329958701,0,SPY
10/29/2021,430.98,459.56,426.36,459.25,437.8963,1508665331,0,SPY
9/30/2021,452.56,454.05,428.78,429.14,409.1864,1745953627,1.4281,SPY
8/31/2021,440.34,453.07,436.1,451.56,429.1753,1253428256,0,SPY
7/30/2021,428.87,441.8,421.97,438.51,416.7723,1420579578,0,SPY
6/30/2021,422.57,428.78,414.7,428.06,406.8403,1281016394,1.3759,SPY
5/28/2021,419.43,422.815,404,420.04,397.8984,1527034281,0,SPY
4/30/2021,398.4,420.72,398.18,417.3,395.3028,1462173411,0,SPY
3/31/2021,385.59,398.12,371.88,396.33,375.4382,2401881132,1.2778,SPY
2/26/2021,373.72,394.17,370.376,380.36,359.1318,1297509572,0,SPY
1/29/2021,375.31,385.85,364.82,370.07,349.4161,1400691918,0,SPY
12/31/2020,365.57,378.46,362.03,373.88,353.0135,1342397107,1.58,SPY
11/30/2020,330.2,364.38,327.24,362.06,340.3964,1534447743,0,SPY
10/30/2020,337.69,354.02,322.6,326.54,307.0017,1629408336,0,SPY
9/30/2020,350.21,358.75,319.8,334.89,314.8521,1815146487,1.3392,SPY
8/31/2020,328.32,351.3,327.73,349.31,327.0845,1044798905,0,SPY
7/31/2020,309.57,327.23,309.07,326.52,305.7445,1502719470,0,SPY
6/30/2020,303.62,323.41,296.74,308.36,288.74,2347940437,1.3662,SPY
5/29/2020,285.31,306.84,272.99,304.32,283.7012,1901783412,0,SPY
4/30/2020,247.98,294.88,243.9,290.48,270.7989,2798273802,0,SPY
3/31/2020,298.21,313.84,218.26,257.75,240.2865,5888710884,1.4056,SPY
2/28/2020,323.35,339.08,285.54,296.26,274.501,2099672006,0,SPY
1/31/2020,323.54,332.95,320.36,321.73,298.1003,1389179454,0,SPY
12/31/2019,314.59,323.8,307.13,321.86,298.2208,1281220574,1.57,SPY
11/29/2019,304.92,315.48,304.74,314.31,289.8067,1035047008,0,SPY
10/31/2019,297.74,304.55,284.82,303.33,279.6827,1404743524,0,SPY
9/30/2019,290.57,302.63,289.27,296.77,273.6341,1322797499,1.3836,SPY
8/30/2019,297.6,300.87,281.72,292.45,268.4058,2038348125,0,SPY
7/31/2019,296.68,302.23,294.33,297.43,272.9764,1135591762,0,SPY
6/28/2019,275.31,296.31,273.09,293,268.9106,1340435548,1.4316,SPY
5/31/2019,294.72,294.95,275.24,275.27,251.4141,1845593139,0,SPY
4/30/2019,284.7,294.45,284.4,294.02,268.5391,1209204906,0,SPY
3/29/2019,280.44,285.18,272.42,282.48,257.9992,1678081316,1.2331,SPY
2/28/2019,270.15,281.31,267.83,278.68,253.4177,1371716235,0,SPY
1/31/2019,245.98,270.47,243.67,269.93,245.4609,2048691645,0,SPY
12/31/2018,280.28,280.4,233.76,249.92,227.2648,3102621849,1.4354,SPY
11/30/2018,271.6,281.22,263.07,275.65,249.1764,2021061342,0,SPY
10/31/2018,292.11,293.21,259.85,270.63,244.6385,3024346032,0,SPY
9/28/2018,289.84,293.94,286.71,290.72,262.7991,1228083461,1.3226,SPY
8/31/2018,281.56,291.74,279.16,290.31,261.2451,1308443632,0,SPY
7/31/2018,269.51,284.37,269.24,281.33,253.1642,1266961027,0,SPY
6/29/2018,272.41,279.48,268.49,271.28,244.1203,1600700314,1.2456,SPY
5/31/2018,263.87,274.25,259.05,270.94,242.7234,1606397329,0,SPY
4/30/2018,262.55,271.3,254.67,264.51,236.9631,2000427231,0,SPY
3/29/2018,271.41,280.41,257.83,263.15,235.7447,2336204952,1.0968,SPY
2/28/2018,281.07,283.06,252.92,271.65,242.3899,2923721958,0,SPY
1/31/2018,267.84,286.63,267.4,281.9,251.5359,1996090155,0,SPY
12/29/2017,264.76,268.6,260.76,266.86,238.1159,1715222830,1.3513,SPY
11/30/2017,258.04,266.05,255.63,265.01,235.2722,1364516581,0,SPY
10/31/2017,251.49,257.89,251.29,257.15,228.2942,1320624558,0,SPY
9/29/2017,247.92,251.32,244.95,251.23,223.0385,1286405280,1.2346,SPY
8/31/2017,247.46,248.91,241.83,247.49,218.635,1556592441,0,SPY
7/31/2017,242.88,248,240.34,246.77,217.999,1060192538,0,SPY
6/30/2017,241.97,245.01,239.96,241.8,213.6084,1555272400,1.1831,SPY
5/31/2017,238.68,242.08,235.43,241.44,212.2554,1489321600,0,SPY
4/28/2017,235.8,239.53,232.51,238.08,209.3016,1549613700,0,SPY
3/31/2017,238.39,240.32,231.61,235.74,207.2444,1921474100,1.0331,SPY
2/28/2017,227.53,237.31,226.82,236.47,206.984,1365136600,0,SPY
1/31/2017,225.04,229.71,223.88,227.53,199.1588,1482408500,0,SPY
12/30/2016,220.73,228.34,219.15,223.53,195.6575,1821463800,1.3289,SPY
11/30/2016,212.93,221.82,208.38,220.38,191.7679,2062615100,0,SPY
10/31/2016,215.82,216.7,211.21,212.55,184.9545,1725687400,0,SPY
9/30/2016,217.37,219.22,212.31,216.3,188.2176,2292393000,1.0821,SPY
8/31/2016,217.19,219.6,214.25,217.38,188.2029,1519703200,0,SPY
7/29/2016,209.48,217.54,207.06,217.12,187.9778,1648453700,0,SPY
6/30/2016,209.12,212.52,198.65,209.48,181.3633,2612406900,1.0784,SPY
5/31/2016,206.92,210.69,202.78,209.84,180.7312,1812964000,0,SPY
4/29/2016,204.35,210.92,203.09,206.33,177.7081,1903382300,0,SPY
3/31/2016,195.01,206.87,194.45,205.52,177.0105,2323306500,1.0496,SPY
2/29/2016,192.53,196.68,181.09,193.56,165.8578,2920730800,0,SPY
1/29/2016,200.49,201.9,181.02,193.72,165.9949,3702344700,0,SPY
12/31/2015,209.44,211,199.83,203.87,174.6922,2924836766,1.2115,SPY
11/30/2015,208.32,211.66,202.18,208.69,177.7457,1924512621,0,SPY
10/30/2015,192.08,209.44,189.12,207.93,177.0984,2536184532,0,SPY
9/30/2015,193.12,202.89,186.93,191.59,163.1813,3279512868,1.0334,SPY
8/31/2015,210.46,211.31,182.4,197.54,167.3637,3734845150,0,SPY
7/31/2015,207.73,213.18,204.11,210.45,178.3016,2452757863,0,SPY
6/30/2015,211.94,213.34,205.28,205.89,174.4382,2535242753,1.0301,SPY
5/29/2015,209.4,213.78,206.76,211.14,178.0163,1892519799,0,SPY
4/30/2015,206.43,212.48,204.51,208.46,175.7568,2036685271,0,SPY
3/31/2015,210.78,212.06,204.12,206.43,174.0452,2749923097,0.9308,SPY
2/27/2015,200.05,212.24,197.86,210.66,176.8294,1901638015,0,SPY
1/30/2015,206.38,206.88,198.55,199.45,167.4196,3183506003,0,SPY
12/31/2014,206.4,212.97,197.86,205.54,172.5316,3045170856,1.1349,SPY
11/28/2014,201.92,207.87,200.06,207.2,172.9745,1571225009,0,SPY
10/31/2014,196.7,201.82,181.92,201.66,168.3496,3943067849,0,SPY
9/30/2014,200.97,201.9,196.05,197.02,164.476,2106580212,0.9392,SPY
8/29/2014,192.56,200.82,190.55,200.71,166.776,1829764370,0,SPY
7/31/2014,196.2,199.06,192.97,193.09,160.4444,1893838621,0,SPY
6/30/2014,192.95,196.6,191.97,195.72,162.6297,1675360233,0.9367,SPY
5/30/2014,188.22,192.8,186.01,192.68,159.3419,1780157245,0,SPY
4/30/2014,187.62,189.7,181.31,188.31,155.728,2345807033,0,SPY
3/31/2014,184.65,189.02,183.75,187.01,154.653,2553782755,0.8246,SPY
2/28/2014,177.97,187.15,173.71,186.29,153.3783,2394183674,0,SPY
1/31/2014,183.98,184.94,176.88,178.18,146.7011,2530649614,0,SPY
12/31/2013,181.09,184.69,177.32,184.69,152.061,2232670202,0.9802,SPY
11/29/2013,176.02,181.75,174.76,181,148.2226,1931935724,0,SPY
10/31/2013,168.14,177.51,164.53,175.79,143.9561,2893983294,0,SPY
9/30/2013,165.23,173.6,163.7,168.01,137.585,2237776606,0.8379,SPY
